dataID,HHuniqueID,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,past_Outcome,Y_AcceptedOffer,CallDuration,headOfhouseholdGender,annualDonations,EstRace,PetsPurchases,DigitalHabits_5_AlwaysOn,AffluencePurchases,Age,Job,Marital,Education,DefaultOnRecord,RecentBalance,HHInsurance,CarLoan,carMake,carModel,carYr
1,3340,2,28,5,2,-1,0,NA,2,70,2,546,NA,FALSE,5,TRUE,36,10,2,2,NA,NA,NA,NA,NA,NA,NA
2,2208,1,26,9,5,-1,0,NA,2,185,1,379,NA,TRUE,5,FALSE,31,5,2,3,NA,NA,NA,NA,NA,NA,NA
3,3458,1,3,7,1,119,1,1,1,340,1,NA,NA,FALSE,1,FALSE,56,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,1785,1,11,9,2,-1,0,NA,1,819,2,NA,NA,TRUE,1,TRUE,33,5,3,3,NA,NA,NA,NA,NA,NA,NA
5,3682,1,3,7,1,-1,0,NA,2,192,1,NA,11,FALSE,4,FALSE,30,2,3,2,NA,NA,NA,NA,NA,NA,NA
6,1282,1,22,9,1,109,1,1,1,796,2,NA,NA,FALSE,4,FALSE,81,6,2,1,NA,NA,NA,NA,NA,NA,NA
7,948,1,17,8,1,-1,0,NA,1,195,2,NA,NA,TRUE,4,TRUE,27,10,3,2,NA,NA,NA,NA,NA,NA,NA
8,2673,1,12,9,4,-1,0,NA,2,66,1,NA,NA,FALSE,1,FALSE,47,1,2,2,NA,NA,NA,NA,NA,NA,NA
9,1885,1,18,10,1,-1,0,NA,2,106,1,NA,NA,TRUE,4,TRUE,49,2,2,2,NA,NA,NA,NA,NA,NA,NA
10,2512,1,12,9,2,-1,0,NA,2,326,2,NA,NA,TRUE,1,TRUE,59,10,2,2,NA,NA,NA,NA,NA,NA,NA
11,2273,1,1,7,1,-1,0,NA,2,181,2,NA,NA,FALSE,3,FALSE,60,5,2,3,NA,NA,NA,NA,NA,NA,NA
12,1277,1,29,5,1,-1,0,NA,1,470,1,NA,NA,FALSE,1,TRUE,36,10,3,2,NA,NA,NA,NA,NA,NA,NA
13,1040,1,27,5,1,-1,0,NA,1,701,2,NA,NA,FALSE,1,TRUE,44,2,3,2,NA,NA,NA,NA,NA,NA,NA
14,259,1,19,7,2,-1,0,NA,2,163,1,NA,NA,TRUE,2,TRUE,46,10,2,2,NA,NA,NA,NA,NA,NA,NA
15,2792,1,29,6,8,97,12,2,1,276,2,NA,NA,FALSE,2,TRUE,60,10,2,2,NA,NA,NA,NA,NA,NA,NA
16,2962,1,12,2,1,114,3,1,1,131,2,NA,NA,FALSE,4,FALSE,38,10,2,2,NA,NA,NA,NA,NA,NA,NA
17,129,2,6,9,3,362,4,2,2,92,2,NA,NA,FALSE,4,FALSE,39,10,2,2,NA,NA,NA,NA,NA,NA,NA
18,1292,1,11,12,4,95,2,2,1,658,2,NA,59,TRUE,5,TRUE,50,2,2,2,NA,NA,NA,NA,NA,NA,NA
19,1341,1,6,9,1,169,2,1,1,451,2,NA,NA,FALSE,1,FALSE,66,4,2,1,NA,NA,NA,NA,NA,NA,NA
20,114,2,5,1,1,-1,0,NA,1,456,1,NA,NA,TRUE,5,TRUE,28,9,3,3,NA,NA,NA,NA,NA,NA,NA
21,906,1,18,7,8,-1,0,NA,2,97,2,NA,NA,FALSE,4,TRUE,47,2,2,2,NA,NA,NA,NA,NA,NA,NA
22,1501,2,8,12,3,91,13,3,1,606,2,NA,70,FALSE,2,TRUE,29,8,3,2,NA,NA,NA,NA,NA,NA,NA
23,3475,1,21,2,2,-1,0,NA,2,218,2,NA,NA,FALSE,4,FALSE,48,2,3,1,NA,NA,NA,NA,NA,NA,NA
24,1704,1,1,6,1,119,2,3,1,304,1,NA,NA,TRUE,2,FALSE,38,4,2,2,NA,NA,NA,NA,NA,NA,NA
25,2224,1,9,4,1,558,7,2,1,127,1,NA,NA,TRUE,2,FALSE,48,10,2,2,NA,NA,NA,NA,NA,NA,NA
26,236,1,17,6,2,-1,0,NA,2,275,2,NA,NA,FALSE,2,TRUE,27,2,3,1,NA,NA,NA,NA,NA,NA,NA
27,1429,1,20,10,3,-1,0,NA,2,104,1,226,NA,TRUE,2,FALSE,30,11,3,3,NA,NA,NA,NA,NA,NA,NA
28,1157,1,21,1,3,-1,0,NA,1,278,1,NA,NA,TRUE,3,TRUE,31,1,2,2,NA,NA,NA,NA,NA,NA,NA
29,2275,1,16,7,3,-1,0,NA,2,109,2,NA,NA,TRUE,3,TRUE,52,5,2,3,NA,NA,NA,NA,NA,NA,NA
30,600,1,20,7,14,-1,0,NA,2,13,1,NA,67,TRUE,5,TRUE,45,8,2,2,NA,NA,NA,NA,NA,NA,NA
31,1910,2,30,1,3,84,3,3,1,766,2,NA,NA,TRUE,1,FALSE,55,5,3,3,NA,NA,NA,NA,NA,NA,NA
32,174,1,2,7,1,194,3,1,2,154,1,NA,NA,FALSE,2,FALSE,31,10,3,2,NA,NA,NA,NA,NA,NA,NA
33,2721,1,13,2,3,-1,0,NA,1,284,2,NA,NA,FALSE,2,FALSE,54,2,2,2,NA,NA,NA,NA,NA,NA,NA
34,3809,1,5,4,2,-1,0,NA,2,383,1,NA,NA,FALSE,3,TRUE,39,4,1,1,NA,NA,NA,NA,NA,NA,NA
35,1814,1,27,9,7,-1,0,NA,2,39,1,NA,NA,TRUE,5,TRUE,25,5,3,3,NA,NA,NA,NA,NA,NA,NA
36,3638,1,14,9,1,-1,0,NA,2,506,1,NA,NA,TRUE,1,TRUE,44,2,3,2,NA,NA,NA,NA,NA,NA,NA
37,2310,1,21,9,3,-1,0,NA,2,987,2,NA,NA,TRUE,5,TRUE,41,2,3,1,NA,NA,NA,NA,NA,NA,NA
38,2192,1,30,6,5,-1,0,NA,2,41,1,NA,NA,TRUE,2,FALSE,43,2,2,1,NA,NA,NA,NA,NA,NA,NA
39,1634,1,18,6,3,-1,0,NA,1,640,1,NA,NA,FALSE,3,FALSE,40,3,2,2,NA,NA,NA,NA,NA,NA,NA
40,2694,1,17,10,3,-1,0,NA,2,70,1,NA,NA,TRUE,5,FALSE,35,5,3,3,NA,NA,NA,NA,NA,NA,NA
41,156,1,29,9,2,-1,0,NA,2,129,1,NA,NA,FALSE,1,FALSE,45,5,2,3,NA,NA,NA,NA,NA,NA,NA
42,1691,1,29,9,1,-1,0,NA,2,134,2,NA,87,FALSE,2,FALSE,40,5,3,3,NA,NA,NA,NA,NA,NA,NA
43,1779,1,5,4,1,-1,0,NA,1,699,1,NA,NA,TRUE,3,TRUE,35,2,2,2,NA,NA,NA,NA,NA,NA,NA
44,1658,1,15,9,1,176,1,1,1,432,1,NA,70,TRUE,4,TRUE,54,5,2,3,NA,NA,NA,NA,NA,NA,NA
45,468,1,21,2,1,-1,0,NA,2,36,1,550,93,FALSE,1,TRUE,42,8,2,2,NA,NA,NA,NA,NA,NA,NA
46,3510,1,3,7,3,-1,0,NA,2,113,1,NA,NA,TRUE,3,FALSE,34,5,3,3,NA,NA,NA,NA,NA,NA,NA
47,3841,1,23,6,1,-1,0,NA,1,761,2,NA,NA,TRUE,5,FALSE,49,8,3,2,NA,NA,NA,NA,NA,NA,NA
48,1558,1,9,11,2,-1,0,NA,1,1106,2,NA,NA,FALSE,2,FALSE,29,5,3,3,NA,NA,NA,NA,NA,NA,NA
49,1453,1,2,7,4,-1,0,NA,2,71,2,NA,62,FALSE,2,TRUE,43,8,1,2,NA,NA,NA,NA,NA,NA,NA
50,3285,1,4,4,4,-1,0,NA,2,207,1,NA,NA,TRUE,1,TRUE,45,1,1,2,NA,NA,NA,NA,NA,NA,NA
51,688,1,16,1,1,-1,0,NA,2,263,2,NA,NA,FALSE,1,TRUE,61,10,1,2,NA,NA,NA,NA,NA,NA,NA
52,1280,1,17,7,1,-1,0,NA,2,72,1,NA,NA,FALSE,5,FALSE,25,2,3,2,NA,NA,NA,NA,NA,NA,NA
53,3846,1,20,10,1,-1,0,NA,1,454,1,NA,85,FALSE,5,FALSE,26,5,3,3,NA,NA,NA,NA,NA,NA,NA
54,3108,2,20,9,3,-1,0,NA,1,351,1,NA,NA,TRUE,4,FALSE,33,2,2,2,NA,NA,NA,NA,NA,NA,NA
55,2931,1,29,5,1,-1,0,NA,2,124,2,NA,NA,FALSE,3,TRUE,45,2,2,1,NA,NA,NA,NA,NA,NA,NA
56,2580,2,2,4,3,-1,0,NA,1,1420,2,NA,NA,FALSE,3,TRUE,63,6,1,2,NA,NA,NA,NA,NA,NA,NA
57,776,1,21,10,1,171,5,1,2,283,1,NA,NA,TRUE,4,TRUE,32,2,2,2,NA,NA,NA,NA,NA,NA,NA
58,1957,1,13,11,1,327,1,1,2,92,2,NA,NA,FALSE,1,FALSE,79,6,1,1,NA,NA,NA,NA,NA,NA,NA
59,3757,1,18,9,1,-1,0,NA,1,612,2,NA,NA,FALSE,5,FALSE,54,5,2,3,NA,NA,NA,NA,NA,NA,NA
60,731,1,26,9,1,-1,0,NA,2,309,2,135,NA,FALSE,5,TRUE,40,5,2,3,NA,NA,NA,NA,NA,NA,NA
61,3598,1,28,2,4,-1,0,NA,2,81,1,NA,NA,TRUE,3,TRUE,41,2,3,2,NA,NA,NA,NA,NA,NA,NA
62,2570,1,18,10,2,-1,0,NA,1,1181,2,NA,NA,FALSE,5,FALSE,53,10,1,2,NA,NA,NA,NA,NA,NA,NA
63,3685,1,12,2,1,-1,0,NA,1,267,1,NA,NA,TRUE,3,TRUE,57,10,2,2,NA,NA,NA,NA,NA,NA,NA
64,3603,1,23,9,2,-1,0,NA,2,132,2,NA,NA,FALSE,3,TRUE,36,10,1,2,NA,NA,NA,NA,NA,NA,NA
65,701,1,15,9,4,-1,0,NA,1,1002,1,NA,NA,TRUE,2,FALSE,40,1,3,2,NA,NA,NA,NA,NA,NA,NA
